"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"57bb6cc2-bf36-4bb7-9ca1-94a97efdcc1b","Dyonisius Periegetes.txt","Cephallenian","char-offset:19379","PLACE","","","","","","","UNVERIFIED","","","",""
"b2e6e797-99d5-4f60-aa47-cd7208ce40b4","Dyonisius Periegetes.txt","Phocians","char-offset:19422","PLACE","","","","","","","UNVERIFIED","","","",""
"42667f16-47ca-482f-87fc-15643158ae09","Dyonisius Periegetes.txt","Thermopylae","char-offset:19483","PLACE","http://pleiades.stoa.org/places/541140","Anthela|Thermopylae|Thermopylae, Thermopylae|Anthele, Anthili","-0750/0300","38.796511","22.538294","shrine,pass,fort","VERIFIED","","","",""
"628018c9-1127-4a26-b212-fa4995018954","Dyonisius Periegetes.txt","Parnassus","char-offset:19503","PLACE","http://dare.ht.lu.se/places/41400","Parnassus M.|Parnassus Mons, Parnassus","","38.5348857","22.6222206","mountain","VERIFIED","","","",""
"b9ca5d69-dee0-421d-9a68-f44c2126c1c9","Dyonisius Periegetes.txt","Pytho","char-offset:19606","PLACE","http://sws.geonames.org/263219","Delphi","","38.47942","22.49357","","VERIFIED","","","",""
"b63d8780-9849-4bec-8d83-20d5022e6297","Dyonisius Periegetes.txt","Delphyne","char-offset:19665","PLACE","http://sws.geonames.org/263219","Delphi","","38.47942","22.49357","","VERIFIED","","","",""
"ef0d8cd5-e65e-42d5-89c3-291d74cb8298","Dyonisius Periegetes.txt","Miletus","char-offset:19836","PLACE","http://dare.ht.lu.se/places/24450","Miletus Stadium","","37.52821724984905","27.27470144131597","","VERIFIED","","","",""
"b8c7d1df-0637-49fa-a481-ee1c2a8bcad4","Dyonisius Periegetes.txt","Gadeira","char-offset:20055","PLACE","http://pleiades.stoa.org/places/256177","Gadeira/Gades/Col. Augusta Gaditana|Gades/Gadeira/Col. Augusta Gaditana, Cádiz","-0750/2100","36.528381","-6.294444","arch,theatre,townhouse,settlement","VERIFIED","","","",""
"268790eb-bbbf-4db6-83f8-52932f09b111","Dyonisius Periegetes.txt","Phoenician","char-offset:20145","PLACE","http://pleiades.stoa.org/places/678334","Phoenice","-0750/0640","33.25","35.25","region","VERIFIED","","","",""
"66ba82fb-8cc5-4e1c-9011-0def5c979093","Dyonisius Periegetes.txt","Phoenician","char-offset:20145","PLACE","http://pleiades.stoa.org/places/678334","Phoenice","-0750/0640","33.25","35.25","region","VERIFIED","","","",""
"d03ba8fa-4602-4224-8c7a-87d8459ee081","Dyonisius Periegetes.txt","Cotinoussa","char-offset:20229","PLACE","http://pleiades.stoa.org/places/256138","Cotinussa (island)|Cotinussa Ins., [Cotinussa Ins.]","-0330/0300","36.50911","-6.27467","island,settlement-modern","VERIFIED","","","",""
"fae50fd8-f6a6-4728-99c0-296fc4bf958c","Dyonisius Periegetes.txt","Gadir","char-offset:20280","PLACE","http://pleiades.stoa.org/places/256177","Gadeira/Gades/Col. Augusta Gaditana|Gades/Gadeira/Col. Augusta Gaditana, Cádiz","-0750/2100","36.528381","-6.294444","arch,theatre,townhouse,settlement","VERIFIED","","","",""
"e2edcc96-f870-49c0-b14f-eff4733aabcc","Dyonisius Periegetes.txt","Gymnesian isles","char-offset:20296","PLACE","","","","","","","UNVERIFIED","","","",""
"719a6c45-f641-4793-8288-657d61af00e0","Dyonisius Periegetes.txt","Bousos","char-offset:20313","PLACE","","","","","","","UNVERIFIED","","","",""
"1c4db83b-6b06-4c12-91b6-6412768a9253","Dyonisius Periegetes.txt","Sardo","char-offset:20333","PLACE","http://sws.geonames.org/2524197","Meana Sardo","","39.94467","9.07355","","VERIFIED","","","",""
"e80cc0d2-e33d-4ea3-b72a-8510db6a86c6","Dyonisius Periegetes.txt","Cyrnus","char-offset:20340","PLACE","http://geo-kima.org/place/10826","Corsica (France)","","","","","VERIFIED","","","",""
"7668a660-9123-423b-aea7-a65e69a53197","Dyonisius Periegetes.txt","Corsica","char-offset:20397","PLACE","http://sws.geonames.org/3023519","Corsica","","","","","VERIFIED","","","",""
"dd465ecf-b92e-4720-a360-5dab53b7331f","Dyonisius Periegetes.txt","Corsica","char-offset:20397","PLACE","http://sws.geonames.org/3023519","Corsica","","","","","VERIFIED","","","",""
"833cac6d-3ddf-45e2-8a54-ff960fe161de","Dyonisius Periegetes.txt","Aeolus’ isles","char-offset:20462","PLACE","","","","","","","UNVERIFIED","","","",""
"d0cc5a78-075c-4edc-956b-0cda15ebb736","Dyonisius Periegetes.txt","Plotae","char-offset:20662","PLACE","http://pleiades.stoa.org/places/142847211","Strophades/Plotai (island group)|Strophades Inss./Plotai Inss., Stamphane Islands","-0550/0640","37.2529449228","21.00743968","island,archipelago","VERIFIED","","","",""
