"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"bd58901d-0e75-4c76-92f6-76de7b8d38b1","Mela.txt","Iope","char-offset:23201","PLACE","http://pleiades.stoa.org/places/687931","Ioppe|Ioppe, Jaffa","-2000/2000","32.053722","34.752119","settlement,port","VERIFIED","","","",""
"1f5a9d8b-5824-47a5-ab82-58cba1653f17","Mela.txt","Cephea","char-offset:23243","PLACE","","","","","","","UNVERIFIED","","","",""
"4efc9be7-fdbe-4bba-9791-18c884c7b962","Mela.txt","Tyro","char-offset:23772","PLACE","","","","","","","UNVERIFIED","","","",""
"85e5f473-b880-40b4-8b83-54717db77f12","Mela.txt","Tyros","char-offset:23772","PLACE","http://pleiades.stoa.org/places/678437","Tyrus/Col. Septimia Severa|Tyrus/Col. Septimia Severa, Tyre (Tyrus)","-2000/2000","33.268071","35.209358","circus,settlement","VERIFIED","","","",""
"30bed67e-9230-422c-9ee4-4398432d9b51","Mela.txt","Sidon","char-offset:23921","PLACE","http://pleiades.stoa.org/places/678393","Sidon/Col. Aurelia Pia|Sidon/Col. Aurelia Pia, Saida (Sidon)","-2600000/2000","33.560243","35.371208","settlement","VERIFIED","","","",""
"92421245-9481-4ab2-a712-101cc2070ce8","Mela.txt","Persis","char-offset:23939","PLACE","http://pleiades.stoa.org/places/922698","Persis/Pars","-0550/0640","30.5","51.5","unknown","VERIFIED","","","",""
"422107dd-3f16-4c3a-be36-ddccc416e04a","Mela.txt","Theuprosopon","char-offset:24010","PLACE","","","","","","","UNVERIFIED","","","",""
"dcb0c830-9dcc-4fe2-aeaa-bae3f857bb4d","Mela.txt","Byblos","char-offset:24039","PLACE","http://pleiades.stoa.org/places/668216","Byblos|Byblos, Byblos/Jbeil","-2600000/2000","34.119026","35.645732","settlement,port","VERIFIED","","","",""
"863c1abd-4df9-4854-b2c3-78959840f9c3","Mela.txt","Botrys","char-offset:24049","PLACE","http://pleiades.stoa.org/places/668214","Botrys|Botrys, Batroun","-0330/0640","34.25516","35.65831","settlement","VERIFIED","","","",""
"4c8d300d-f317-40e3-8391-5f61466e2133","Mela.txt","Tripolis","char-offset:24129","PLACE","http://pleiades.stoa.org/places/668394","Tripolis|Tripolis, Tripolis","-1344/2000","34.447","35.817833","cemetery,fort-group,urban,temple,theatre,pass,church,road,settlement,bath","VERIFIED","","","",""
"660a2983-5595-445e-89d0-26967e084a21","Mela.txt","Simyra","char-offset:24156","PLACE","http://pleiades.stoa.org/places/668372","Simyra?|Simyra?, Tell Kazel","-0330/0640","34.70849","35.98614","settlement","VERIFIED","","","",""
"6ba98f86-4eee-4a6b-99b4-34053cf22b58","Mela.txt","Marathos","char-offset:24193","PLACE","http://pleiades.stoa.org/places/668306","Marathos|Marathos, Amrit","-0330/0300","34.838764","35.907067","settlement","VERIFIED","","","",""
"3e959fc9-3725-4b90-acfc-010ede7455ab","Mela.txt","Antiochiae","char-offset:24530","PLACE","http://pleiades.stoa.org/places/658381","Antiochia/Theoupolis|Antiochia/Theoupolis, Antakya","-1750/2000","36.200663","36.165318","amphitheatre,settlement,urban","VERIFIED","","","",""
"ea5721b7-669f-4a92-ba59-c1cce7737fae","Mela.txt","Seleucia","char-offset:24580","PLACE","http://pleiades.stoa.org/places/658483","Hydatos Potamoi/Seleukeia Pieria|Seleukeia Pieria/Hydatos Potamoi, Çevlik","-0550/0640","36.11705","35.93815","settlement,port","VERIFIED","","","",""
"296f4c1a-5c79-40c8-ab03-3b4817d90c6b","Mela.txt","Hypatos","char-offset:24590","PLACE","http://pleiades.stoa.org/places/541179","Zeus Hypatos, T.|Zeus Hypatos, Moni Sagmata","-0550/0640","38.40002","23.41105","temple-2","UNVERIFIED","","","",""
"3d0b4c80-f599-4d74-99ea-fd6faddd81a0","Mela.txt","Berytos","char-offset:24599","PLACE","http://pleiades.stoa.org/places/678060","Berytus/Laodikeia en te Phoinike/Col. Iulia Augusta Felix|Berytus/Laodikeia en te Phoinike/Col. Iulia Augusta Felix, Beirut","-2000/2100","33.897902","35.501176","settlement","VERIFIED","","","",""
"26716ac0-b368-4f12-a6ee-b84f02c2bd6f","Mela.txt","Laodicea","char-offset:24608","PLACE","http://pleiades.stoa.org/places/668290","Laodicea|Laodicea, Latakia","-0550/0640","35.513994","35.782047","settlement,port","VERIFIED","","","",""
"f04c9cfe-58cb-4c25-9e93-f27e78aa7b48","Mela.txt","Rosos","char-offset:24618","PLACE","http://pleiades.stoa.org/places/658585","Rhosos|Rhosos, Uluçınar","-0330/0640","36.4195645","35.887675","settlement","VERIFIED","","","",""
"e2b45f4a-d31e-42d0-aca7-0a9f2f96110d","Mela.txt","Lycos","char-offset:24653","PLACE","http://pleiades.stoa.org/places/678269","Lykos (river)","-0330/2100","33.94857134215221","35.61412456419798","river","VERIFIED","","","",""
"2e582f48-df16-4220-bd04-9825b1dd710b","Mela.txt","Hypatos","char-offset:24662","PLACE","http://pleiades.stoa.org/places/541179","Zeus Hypatos, T.|Zeus Hypatos, Moni Sagmata","-0550/0640","38.40002","23.41105","temple-2","UNVERIFIED","","","",""
"f2031076-2361-4b3f-8532-5079c2ad87e7","Mela.txt","Orontes;","char-offset:24673","PLACE","http://pleiades.stoa.org/places/658560","Orontes (river)","-0330/0640","35.2728339","36.4825754","river","VERIFIED","","","",""
"98d3e43a-0934-4b1e-a926-d2b01e93c3cf","Mela.txt","mons Amanus","char-offset:24686","PLACE","http://pleiades.stoa.org/places/658376","Amanus (mountain range)|Amanus Mons, Nur Dağları","-0720/0640","36.75","36.333333","mountain","VERIFIED","","","",""
"3db2c96c-b6f1-427a-999d-d6af886f9eb2","Mela.txt","Myriandros","char-offset:24714","PLACE","http://pleiades.stoa.org/places/658541","Myriand(r)os|Myriandros/Myriandos, Ada Tepe","-0550/0640","36.4941667","36.02416670000002","settlement,port","VERIFIED","","","",""
"e6d33b2b-b9ab-4d7a-a28d-d05d90c37b59","Mela.txt","Cilices","char-offset:24728","PLACE","http://pleiades.stoa.org/places/648600","Cilicia Pedias","-0750/0640","36.93140598888889","35.410079455555554","region","VERIFIED","","","",""
"f72d7489-5005-4f51-befe-00a798074914","Mela.txt","Issos","char-offset:24923","PLACE","http://pleiades.stoa.org/places/658371","Alexandria ad Issum|Alexandria ad Issum, İskenderun","-1750/2000","36.589023","36.166038","settlement","VERIFIED","","","",""
"07ab1a60-de61-4106-9f1d-136ff61caa42","Mela.txt","Hammodes","char-offset:24980","PLACE","","","","","","","UNVERIFIED","","","",""
"32a81df1-42d3-4f33-ae95-a438b99d5196","Mela.txt","Pyramum","char-offset:25008","PLACE","http://pleiades.stoa.org/places/648701","Magarsa/Antiochia ad Pyramum|Mallos/Antiochia ad Pyramum|Mallos/Antiochia ad Pyramum, Karataş, Adana|Magarsa/Antiochia ad Pyramum, Dörtdirek, Karataş","-0330/0640","36.756188","35.4852","settlement","VERIFIED","","","",""
"9f5fd05c-580b-463f-a4ab-ce7e54dffc58","Mela.txt","Cydnum","char-offset:25016","PLACE","http://pleiades.stoa.org/places/648789","Tarsus/Antiochia ad Cydnum|Tarsus/Antiochia ad Cydnum, Gözlü Kule","-1750/2000","36.91242","34.89592","settlement","VERIFIED","","","",""
