"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"0ba1ace6-eccc-4e6d-a1f7-0148b47d3534","Arriano.txt","Tarsuras","char-offset:11857","PLACE","http://pleiades.stoa.org/places/857236","Moches/Tarsouras?/Thersos?/Kyaneos?/Gyenos? (river)|Moches/Tarsouras?/Thersos?/Kyaneos?/Gyenos?, Mokvi river","-0330/0640","42.76436","41.44662","river","VERIFIED","","","",""
"65aa225a-6962-4378-92a4-e20e91a91f5b","Arriano.txt","Astelefos","char-offset:11898","PLACE","http://pleiades.stoa.org/places/857049","Astelephos/Euripos (river)|Astelephosfl./Euripos fl., Skurcha","-0030/0640","42.81645","41.17202","river","VERIFIED","","","",""
"615217d7-b8c8-49c5-ac00-4d56cff1cb69","Arriano.txt","Hipos","char-offset:11912","PLACE","http://pleiades.stoa.org/places/857163","Hippos (river)","-0030/0640","42.5","41.5","river","VERIFIED","","","",""
"c62cb67d-ef1d-4226-a1b4-539d3f57d68f","Arriano.txt","Astelefos","char-offset:11943","PLACE","http://pleiades.stoa.org/places/857049","Astelephos/Euripos (river)|Astelephosfl./Euripos fl., Skurcha","-0030/0640","42.81645","41.17202","river","VERIFIED","","","",""
"333f18d9-e401-4baa-b180-d5c573c68ee8","Arriano.txt","Sebastópolis","char-offset:11959","PLACE","http://pleiades.stoa.org/places/857107","Dioscurias/Sebastopolis|Dioscurias/Sebastopolis, Sukhumi","-0550/0640","42.99535","41.0181","settlement","VERIFIED","","","",""
"4d1ad1c8-8f0e-4b10-b1c0-b361bfe9af32","Arriano.txt","Astelefos","char-offset:12025","PLACE","http://pleiades.stoa.org/places/857049","Astelephos/Euripos (river)|Astelephosfl./Euripos fl., Skurcha","-0030/0640","42.81645","41.17202","river","VERIFIED","","","",""
"4b7adef0-dd61-47a9-ad74-1e075bb983db","Arriano.txt","Jobos","char-offset:12314","PLACE","http://pleiades.stoa.org/places/857092","Chorsos/Chobos (river)|Chorsos fl./Chobos fl., Enguri river","-0550/0640","42.41593","41.64585","river","VERIFIED","","","",""
"4d026bf9-5400-490e-8f75-8ba5c1c65a7c","Arriano.txt","Sebastópolis","char-offset:12322","PLACE","http://pleiades.stoa.org/places/857107","Dioscurias/Sebastopolis|Dioscurias/Sebastopolis, Sukhumi","-0550/0640","42.99535","41.0181","settlement","VERIFIED","","","",""
"a55af763-6d19-4dcb-8d70-5c15e33893e7","Arriano.txt","Trapezunte","char-offset:12364","PLACE","http://pleiades.stoa.org/places/857359","Trapezus|Trapezous/Trapezus, Trabzon","-3200/2000","41.005877","39.728451","settlement","VERIFIED","","","",""
"c467cd2b-44c0-4344-bba2-42d5ab9e4345","Arriano.txt","Sebastópolis","char-offset:12382","PLACE","http://pleiades.stoa.org/places/857107","Dioscurias/Sebastopolis|Dioscurias/Sebastopolis, Sukhumi","-0550/0640","42.99535","41.0181","settlement","VERIFIED","","","",""
